id	abbreviation	name
rxn00001	R00004	diphosphate phosphohydrolase
rxn00002	R00005	urea-1-carboxylate amidohydrolase
rxn00003	R00006	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)
rxn00004	R00008	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)
rxn00006	R00009	hydrogen-peroxide:hydrogen-peroxide oxidoreductase
rxn00007	R00010	alpha,alpha-trehalose glucohydrolase
rxn00008	R00011	Mn(II):hydrogen-peroxide oxidoreductase
rxn00009	R00012	GTP:GTP guanylyltransferase
rxn00010	R00013	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)
rxn00011	R00014	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)
rxn00012	R00015	sucrose:sucrose 1'-beta-D-fructosyltransferase
rxn00013	G1PPDM	D-Glucose-1-phosphate:D-glucose-1-phosphate 6-phosphotransferase
rxn00014	R00017	ferrocytochrome-c:hydrogen-peroxide oxidoreductase
rxn00015	R00018	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)
rxn00016	R00022	chitobiose N-acetylglucosaminohydrolase
rxn00017	R00023	hydroxylamine:NAD+ oxidoreductase
rxn00018	R00024	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)
rxn00019	2NPDO	2-Nitropropane:oxygen 2-oxidoreductase
rxn00020	R00026	cellobiose glucohydrolase
rxn00021	R00027	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)
rxn00022	R00028	maltose glucohydrolase
rxn00023	R00029	thiosulfate:ferricytochrome-c oxidoreductase
rxn00024	R00031	1,2-Benzenediol:oxygen oxidoreductase
rxn00025	R00032	beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)
rxn00026	R00033	thiamine:oxygen 5-oxidoreductase
rxn00027	R00034	Cyclobutadipyrimidine (in DNA) pyrimidine-lyase
rxn00028	R00068	L-ascorbate:oxygen oxidoreductase
rxn00029	R00036	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)
rxn00030	R00038	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)
rxn00031	R00039	raffinose:raffinose 1F-alpha-D-galactosyltransferase
rxn00032	Choline:oxygen 1-oxidoreductase	Choline:oxygen 1-oxidoreductase
rxn00033	R00042	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)
rxn00034	R00043	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)
rxn00035	R00044	columbamine:oxygen oxidoreductase (cyclizing)
rxn00036	R00045	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase
rxn00037	R_R00047_c	omega-3 fatty acid desaturase, chloroplast (FAD7) (FADD)
rxn00038	R00048	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase
rxn00039	R00049	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase
rxn00040	R00053	digallate acylhydrolase
rxn00041	R00054	orsellinate-depside hydrolase
rxn00042	R00055	inosine:oxygen 5'-oxidoreductase
rxn00043	R00058	catechol:oxygen oxidoreductase
rxn00044	R00059	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase
rxn00045	R00062	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase
rxn00046	R00063	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase
rxn00047	R_R00064_c	R_4__4_Deoxy_beta_D_gluc_4_enuronosyl__D_galacturonate_lyase
rxn00048	R00066	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase
rxn00050	rxn00050	rxn00050
rxn00051	R00070	D-urobilinogen:oxygen oxidoreductase
rxn00052	R00072	thiamine-aldehyde:oxygen 5-oxidoreductase
rxn00053	Prostaglandin H2:oxygen oxidoreductase	Prostaglandin H2:oxygen oxidoreductase
rxn00054	R00074	2-aminophenol:oxygen oxidoreductase (dimerizing)
rxn00055	R00075	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase
rxn00056	R00078	Fe(II):oxygen oxidoreductase
rxn00057	R00080	Catechol:oxygen oxidoreductase (dimerizing)
rxn00058	R00081	Ferrocytochrome-c:oxygen oxidoreductase
rxn00059	Benzenediol:oxygen oxidoreductase	Benzenediol:oxygen oxidoreductase
rxn00060	R00084	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)
rxn00061	R00085	ATP diphosphohydrolase (phosphate-forming)
rxn00062	R00086	ATP phosphohydrolase
rxn00063	R00087	ATP diphosphohydrolase (diphosphate-forming)
rxn00064	R00088	ATP aminohydrolase
rxn00065	R00089	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)
rxn00066	R00090	NADH:hydrogen-peroxide oxidoreductase
rxn00067	R00091	CoA:NAD+ oxidoreductase
rxn00068	R00092	Fe2+:NAD+ oxidoreductase
rxn00069	R00093	L-glutamate:NAD+ oxidoreductase (transaminating)
rxn00070	R00094	glutathione:NAD+ oxidoreductase
rxn00071	R00095	NADH:monodehydroascorbate oxidoreductase
rxn00072	R00097	NADH:cob(III)alamine oxidoreductase
rxn00073	rxn00073	rxn00073
rxn00074	R00099	cob(I)alamin:NAD+ oxidoreductase
rxn00075	NADNm	NAD nucleosidase, mitochondrial
rxn00076	R00103	NAD+ phosphohydrolase
rxn00077	R00104	ATP:NAD+ 2'-phosphotransferase
rxn00078	R00105	ATP:NADH 2'-phosphotransferase
rxn00079	R00106	NADPH:ferricytochrome oxidoreductase
rxn00080	R00107	cob(II)alamin:NADP+ oxidoreductase
rxn00081	rxn00081	rxn00081
rxn00082	(nitric-oxide-forming)	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase
rxn00083	R00112	NADPH:NAD+ oxidoreductase
rxn00084	R00113	NADPH:hydrogen-peroxide oxidoreductase
rxn00085	R00114	L-Glutamate:NADP+ oxidoreductase (transaminating)
rxn00086	R00115	glutathione:NADP+ oxidoreductase
rxn00087	NADPH:CoA-glutathione oxidoreductase	NADPH:CoA-glutathione oxidoreductase
rxn00088	R00118	NADP+ 2'-phosphohydrolase
rxn00089	R00119	NADP+ glycohydrolase
rxn00090	R00120	glutathione:oxygen oxidoreductase
rxn00091	rxn00091	rxn00091
rxn00092	R00122	ADP phosphohydrolase
rxn00093	R00123	ADP aminohydrolase
rxn00095	R00125	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase
rxn00096	R00126	ADP:ATP adenylyltransferase
rxn00097	R00127	ATP:AMP phosphotransferase
rxn00098	R00128	Adenosine-tetraphosphate phosphohydrolase
rxn00099	R00129	(6S)-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase (ATP-hydrolysing)
rxn00100	R00130	ATP:dephospho-CoA 3'-phosphotransferase
rxn00101	R00131	Urea amidohydrolase
rxn00102	R00132	carbonate hydro-lyase (carbon-dioxide-forming)
rxn00103	R00134	formate:NADP+ oxidoreductase
rxn00104	PPK2r	polyphosphate kinase
rxn00105	R00137	ATP:nicotinamide-nucleotide adenylyltransferase
rxn00106	R00138	Triphosphate phosphohydrolase
rxn00107	R00139	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase
rxn00108	R00140	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase
rxn00109	R00143	ammonia:NAD+ oxidoreductase
rxn00110	deaminating)	Nitrogenous compounds,NADH:oxygen oxidoreductase (3-hydroxylating,
rxn00111	deaminating)	Nitrogenous compounds,NADPH:oxygen oxidoreductase (3-hydroxylating,
rxn00112	rxn00112	rxn00112
rxn00113	R00149	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)
rxn00114	R00150	ATP:carbamate phosphotransferase
rxn00115	R00152	R00152
rxn00116	R00155	UDP phosphohydrolase
rxn00117	R00156	ATP:UDP phosphotransferase
rxn00118	R00157	Uridine triphosphate:AMP phosphotransferase
rxn00119	R00158	ATP:UMP phosphotransferase
rxn00120	R00159	UTP phosphohydrolase
rxn00121	R00160	FAD nucleotidohydrolase
rxn00122	R00161	ATP:FMN adenylyltransferase
rxn00123	R00173	pyridoxal-5'-phosphate phosphohydrolase
rxn00124	R00174	ATP:pyridoxal 5'-phosphotransferase
rxn00125	R00175	S-Adenosyl-L-methionine hydrolase
rxn00126	R00177	ATP:L-methionine S-adenosyltransferase
rxn00127	R00178	S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]
rxn00128	R00179	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)
rxn00129	R00180	S-Adenosyl-L-methionine alkyltransferase (cyclizing)
rxn00130	R00181	AMP aminohydrolase
rxn00131	R00182	AMP phosphoribohydrolase
rxn00132	R00183	Adenosine 5'-monophosphate phosphohydrolase
rxn00133	R00184	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase
rxn00134	R00185	ATP:adenosine 5'-phosphotransferase
rxn00135	(S)-Lactate adenylohydrolase	(S)-Lactate adenylohydrolase
rxn00136	R00187	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase
rxn00137	R00188	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase
rxn00138	R00189	deamido-NAD+:ammonia ligase (AMP-forming)
rxn00139	R00190	AMP:diphosphate phospho-D-ribosyltransferase
rxn00140	R00191	adenosine 3',5'-phosphate 5'-nucleotidohydrolase
rxn00141	R00192	S-Adenosyl-L-homocysteine hydrolase
